OBJECTID,FEATURETYPE,DESCRIPTON,CLASS,FACILITY_NAME,FACILITY_OPERATIONALSTATUS,FACILITY_ADDRESS,ABS_SUBURB,FACILITY_STATE,ABS_POSTCODE,FACILITY_ATTRIBUTE_SOURCE,FACILITY_ATTRIBUTE_DATE,FACILITY_SOURCE,FACILITY_DATE,FACILITY_SPATIAL_CONFIDENCE,FACILITY_REVISED,COMMENT,FACILITY_LAT,FACILITY_LONG,VALIDATED,GNAF_BUILDING_NAME,GNAF_ADDRESS_DETAIL_PID,GNAF_FORMATTED_ADDRESS,GNAF_CONFIDENCE,GNAF_POSTCODE,GNAF_SUBURB,DISTANCE_TO_GNAF,GNAF_LAT,GNAF_LONG
26,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,ANGLESEA POLICE STATION,OPERATIONAL,,ANGLESEA,VICTORIA,3230,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.403398639,144.19222815,,,GAVIC419961338,55 GREAT OCEAN ROAD,1,3230,ANGLESEA,0,-38.40339864,144.19222814
27,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,ANGLESEA AMBULANCE STATION,OPERATIONAL,,ANGLESEA,VICTORIA,3230,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.409849999,144.184569,,SENIOR CITIZENS CLUB,GAVIC420042811,3 MCMILLAN STREET,2,3230,ANGLESEA,0,-38.4098498,144.18456926
28,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ANNUELLO FIRE STATION CFA,OPERATIONAL,,ANNUELLO,VICTORIA,3549,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-34.854653421,142.83365378,,,GAVIC424762914,2994 ROBINVALE-SEA LAKE ROAD,0,3549,ANNUELLO,20,-34.85458495,142.83345098
29,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ANTWERP FIRE STATION CFA,OPERATIONAL,,ANTWERP,VICTORIA,3414,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-36.297613004,142.027159,,,GAVIC719313906,12 ANTWERP-WARRACKNABEAL ROAD,0,3414,ANTWERP,67,-36.29775301,142.02643581
30,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,APOLLO BAY FIRE STATION CFA,OPERATIONAL,,APOLLO BAY,VICTORIA,3233,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.756610985,143.6682499,,,GAVIC414156058,28 PASCOE STREET,1,3233,APOLLO BAY,2,-38.75660633,143.66823335
31,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,APOLLO BAY AMBULANCE STATION,OPERATIONAL,,APOLLO BAY,VICTORIA,3233,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.753926996,143.664519,,,GAVIC421178439,6 PENGILLEY AVENUE,2,3233,APOLLO BAY,0,-38.75392728,143.6645184
32,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,APOLLO BAY POLICE STATION,OPERATIONAL,,APOLLO BAY,VICTORIA,3233,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.759664401,143.6703816,,,GAVIC423973401,31 NELSON STREET,1,3233,APOLLO BAY,0,-38.7596644,143.6703816
33,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,APPIN SOUTH FIRE STATION CFA,OPERATIONAL,,APPIN SOUTH,VICTORIA,3579,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-35.925508742,143.86927826,,,GAVIC425335584,1150 APPIN SOUTH ROAD,1,3579,APPIN SOUTH,6,-35.92555368,143.869234
34,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,APSLEY POLICE STATION,OPERATIONAL,,APSLEY,VICTORIA,3319,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-36.967060596,141.08361854,,,GAVIC410750088,17 SPLATT STREET,2,3319,APSLEY,0,-36.9670606,141.08361854
35,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,APSLEY FIRE STATION CFA,OPERATIONAL,,APSLEY,VICTORIA,3319,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-36.967595987,141.083154,,,GAVIC423713106,11 SPLATT STREET,1,3319,APSLEY,12,-36.96768801,141.0832226
36,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,BRINGALBERT SOUTH FIRE STATION CFA,OPERATIONAL,,APSLEY,VICTORIA,3319,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.002755832,141.16011362,,,GAVIC425626027,1342 WIMMERA HIGHWAY,1,3319,APSLEY,0,-37.00275525,141.16011619
37,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,ARARAT AMBULANCE STATION,OPERATIONAL,,ARARAT,VICTORIA,3377,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.278495997,142.93135699,,,GAVIC423746450,2 BASHAM STREET,0,3377,ARARAT,0,-37.27849614,142.9313564
38,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,ARARAT POLICE STATION,OPERATIONAL,,ARARAT,VICTORIA,3377,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.284243189,142.92672242,,,GAVIC421247221,1 LIGAR STREET,1,3377,ARARAT,0,-37.28424319,142.92672241
39,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",SES FACILITY,VICSES ARARAT,OPERATIONAL,,ARARAT,VICTORIA,3377,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.282694003,142.93563,,SES DEPOT,GAVIC424447731,85-87 HIGH STREET,0,3377,ARARAT,1,-37.28269848,142.93563966
40,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ARARAT FIRE STATION CFA,OPERATIONAL,,ARARAT,VICTORIA,3377,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.288362151,142.93201092,,,GAVIC720347897,8-10 TUSON STREET,0,3377,ARARAT,2,-37.28835059,142.9320326
41,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ARCADIA FIRE STATION CFA,OPERATIONAL,,ARCADIA,VICTORIA,3631,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-36.563313843,145.33307402,,,GAVIC420959326,12 MAIN ROAD,1,3631,ARCADIA,4,-36.563277,145.33305785
42,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,AREEGRA FIRE STATION CFA,OPERATIONAL,,AREEGRA,VICTORIA,3480,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-36.266124255,142.63223769,,,GAVIC422187554,1898 RUPANYUP ROAD,1,3480,AREEGRA,4,-36.26610088,142.63220125
43,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ARTHURS CREEK FIRE STATION CFA,OPERATIONAL,,ARTHURS CREEK,VICTORIA,3099,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.584086346,145.20728245,,,GAVIC423751439,834 HURSTBRIDGE-ARTHURS CREEK ROAD,1,3099,ARTHURS CREEK,13,-37.58398169,145.20721216
44,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ASCOT & DISTRICT FIRE STATION CFA,OPERATIONAL,,ASCOT,VICTORIA,3364,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.396130001,143.799339,,ASCOT TENNIS COURTS,GAVIC423700094,47 ASCOT HALL ROAD,0,3364,ASCOT,5,-37.39610254,143.79938073
45,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,ASHBURTON POLICE STATION,OPERATIONAL,,ASHBURTON,VICTORIA,3147,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.862874272,145.07970969,,,GAVIC419729327,1 Y STREET,2,3147,ASHBURTON,0,-37.862874,145.079709
46,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,AVENEL FIRE STATION CFA,OPERATIONAL,,AVENEL,VICTORIA,3664,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-36.895689009,145.2298304,,,GAVIC424761808,16 QUEEN STREET,1,3664,AVENEL,12,-36.89577831,145.2297604
47,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,AVOCA AMBULANCE STATION,OPERATIONAL,,AVOCA,VICTORIA,3467,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.092608999,143.468534,,,GAVIC421869799,5 LIEBIG STREET,1,3467,AVOCA,0,-37.0926093,143.46853415
48,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,AVOCA POLICE STATION,OPERATIONAL,,AVOCA,VICTORIA,3467,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.087170137,143.47409564,,AVOCA POLICE STATION,GAVIC425278740,146 HIGH STREET,0,3467,AVOCA,0,-37.08717014,143.47409564
49,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,AVOCA FIRE STATION CFA,OPERATIONAL,,AVOCA,VICTORIA,3467,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.088598999,143.475542,,,GAVIC421496886,90 RUTHERFORD STREET,1,3467,AVOCA,20,-37.08862815,143.47532401
50,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,AVONDALE HEIGHTS POLICE STATION,OPERATIONAL,,AVONDALE HEIGHTS,VICTORIA,3034,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.755729787,144.85944098,,,GAVIC419726700,162 MILITARY ROAD,2,3034,AVONDALE HEIGHTS,0,-37.755729,144.85944
51,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,AXE CREEK FIRE STATION CFA,OPERATIONAL,,AXE CREEK,VICTORIA,3551,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-36.841917761,144.38722637,,,GAVIC719210052,145 PATONS ROAD,2,3551,AXE CREEK,22,-36.84183052,144.38700931
52,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,AXEDALE POLICE STATION,OPERATIONAL,,AXEDALE,VICTORIA,3551,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-36.786992829,144.50156786,,,GAVIC421311035,86 MCIVOR HIGHWAY,2,3551,AXEDALE,0,-36.78699283,144.50156785
53,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,AXEDALE FIRE STATION CFA,OPERATIONAL,,AXEDALE,VICTORIA,3551,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-36.785482997,144.499671,,,GAVIC425688502,22 SHADFORTH STREET,1,3551,AXEDALE,16,-36.78556345,144.49952893
54,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,BACCHUS MARSH AMBULANCE STATION,OPERATIONAL,,BACCHUS MARSH,VICTORIA,3340,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.676419001,144.443236,,,GAVIC421556719,230 MAIN STREET,1,3340,BACCHUS MARSH,3,-37.67642362,144.44327168
55,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,BACCHUS MARSH FIRE STATION CFA,OPERATIONAL,,BACCHUS MARSH,VICTORIA,3340,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.675613004,144.434382,,BACCHUS MARSH FIRE STATION,GAVIC424242032,93-95 MAIN STREET,0,3340,BACCHUS MARSH,7,-37.67556325,144.4343377
56,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",SES FACILITY,VICSES BACCHUS MARSH,OPERATIONAL,,BACCHUS MARSH,VICTORIA,3340,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.674763998,144.43539601,,,GAVIC423827672,11 GISBORNE ROAD,0,3340,BACCHUS MARSH,0,-37.67476433,144.43539625
